KDCPUM,KDPKAB,WADMKC,WADMKK,WADMPR,aet,drought_class,month,pdsi,pet,pr,ro,soil,tmmn,tmmx,vap,vpd,year
,,,,Maluku,1024.52,Wet,1,148.36,1438.84,74.56,4.0,184.0,255.68,317.28,3026.1199999999994,97.44,2023
,81.03,,Kepulauan Tanimbar,Maluku,449.0,Extreme Drought,1,-196.0,1475.0,47.0,2.0,53.0,250.0,313.0,3007.0,88.0,2023
,17.03,,Bengkulu Utara,Bengkulu,1148.0,Wet,1,684.3529411764705,1148.0,367.5,252.76470588235296,617.9411764705883,237.3235294117647,302.0,2922.6176470588234,70.73529411764706,2023
,61.02,,Mempawah,Kalimantan Barat,964.7777777777778,Wet,1,402.77777777777777,964.7777777777778,200.11111111111111,103.55555555555556,609.6666666666666,233.8888888888889,300.8888888888889,2982.1111111111118,60.44444444444444,2023
,94.02,Wuyuneri,Puncak Jaya,Papua Tengah,897.090909090909,Extreme Drought,1,-69.42424242424242,897.090909090909,202.75757575757572,113.18181818181816,158.45454545454544,99.57575757575756,212.5757575757576,1575.4242424242425,32.848484848484844,2023
,21.03,,Natuna,Kepulauan Riau,874.0,Wet,1,529.0,874.0,640.0,552.0,648.0,235.0,298.0,3058.0,51.0,2023
,35.04,,Tulungagung,Jawa Timur,1207.0,Wet,1,517.0,1207.0,199.0,79.0,2737.0,216.0,294.0,2933.0,42.0,2023
,,,,,1029.428571428571,Wet,1,119.0,1029.428571428571,238.57142857142856,135.57142857142858,601.4285714285713,230.0,321.0,3042.0,77.0,2023
,71.05/71.10,,Minahasa Selatan/Bolaang Mongondwo Timur,Sulawesi Utara,957.95,Wet,1,543.25,957.95,305.75,209.75,1001.0,178.05,252.7,2245.5,39.35,2023
11.01.01,11.01,Bakongan,Aceh Selatan,Aceh,1022.0183673469388,Wet,1,420.02755102040817,1022.0183673469388,263.06326530612245,160.8010204081633,524.4571428571429,234.39693877551025,317.0591836734694,3028.783673469388,77.06836734693877,2023
11.01.02,11.01,Kluet Utara,Aceh Selatan,Aceh,1020.6031042128604,Wet,1,279.769401330377,1020.6031042128604,223.2050997782705,121.4079822616408,680.3558758314857,232.5155210643016,314.8192904656319,2976.49667405765,77.91906873614191,2023
11.01.03,11.01,Kluet Selatan,Aceh Selatan,Aceh,1013.448087431694,Wet,1,374.0214375788146,1013.448087431694,251.46195880622116,150.29592265657843,578.6624632198403,230.86170659941152,313.6986128625473,2963.3568726355606,76.25388818831442,2023
11.01.04,11.01,Labuhanhaji,Aceh Selatan,Aceh,844.6891385767791,Wet,1,2.1186017478152337,844.6891385767791,164.7278401997503,80.5530586766542,1181.6367041198505,185.0911360799001,268.15480649188515,2464.92759051186,47.56803995006242,2023
11.01.05,11.01,Meukek,Aceh Selatan,Aceh,778.9787348105792,Wet,1,72.95764832022874,778.9787348105792,166.81593995711228,88.8536454610436,1107.2321300929236,163.1797712651894,248.8632952108649,2233.1545746962124,35.221765546819164,2023
11.01.06,11.01,Samadua,Aceh Selatan,Aceh,928.0567441860466,Wet,1,125.7813953488372,928.0567441860466,187.1181395348837,94.66511627906978,941.7962790697674,208.69767441860463,291.50697674418603,2679.1776744186045,59.66883720930232,2023
11.01.07,11.01,Sawang,Aceh Selatan,Aceh,931.9577819785758,Wet,1,79.54442344045368,931.9577819785758,181.19533711405168,87.89098928796471,1024.250157529931,208.5022054190296,291.062381852552,2667.771896660365,60.3623188405797,2023
11.01.08,11.01,Tapaktuan,Aceh Selatan,Aceh,924.371854613234,Wet,1,130.10904007455736,924.371854613234,188.27493010251632,95.77726001863935,876.7343895619758,208.21528424976708,291.9002795899348,2685.0382106244174,59.13979496738119,2023
11.01.09,11.01,Trumon,Aceh Selatan,Aceh,1021.2985024586496,Wet,1,429.7355833705856,1021.2985024586496,328.85102816271785,226.62662047384885,537.0572194903889,232.2720160929817,318.3083370585605,3017.9557443004023,78.09029950826998,2023
11.01.10,11.01,Pasi Raja,Aceh Selatan,Aceh,990.2000000000004,Wet,1,181.2789189189189,990.2000000000004,196.24540540540545,97.2864864864865,777.6627027027029,223.73945945945945,306.0929729729729,2869.676756756757,70.31675675675677,2023
11.01.11,11.01,Labuhan Haji Timur,Aceh Selatan,Aceh,831.0220729366603,Extreme Drought,1,-17.94241842610365,831.0220729366603,166.85892514395397,83.92130518234165,1161.7178502879078,180.00479846449136,263.932821497121,2400.5575815738966,45.06429942418428,2023
11.01.12,11.01,Labuhan Haji Barat,Aceh Selatan,Aceh,901.5261813537676,Extreme Drought,1,-29.020434227330785,901.5261813537676,162.7458492975734,72.6360153256705,1193.4457215836526,202.7828863346105,283.26947637292466,2652.578544061303,56.9808429118774,2023
11.01.13,11.01,Kluet Tengah,Aceh Selatan,Aceh,790.9721898268587,Wet,1,135.1019108280254,790.9721898268587,187.48120570557097,108.46236655602397,938.9325379025742,162.58535928949482,248.74172423073463,2263.845967524893,37.79016775814118,2023
11.01.14,11.01,Kluet Timur,Aceh Selatan,Aceh,937.0483549351944,Wet,1,258.1298604187438,937.0483549351944,228.63659022931205,134.8033399800598,697.4588733798605,208.761964107677,293.83773678963115,2673.903539381856,63.73404785643072,2023
